glycosample_id	GS_21
glycosample_entry	GS_21_E1
pmid	6830758
journal_name	Biochemistry.
journal_site	Matsumoto A._et_al_Fig.8
journal_title	Carbohydrates of influenza virus hemagglutinin: structures of the whole neutral sugar chains.
description	
organism	influenza virus
taxonomy_name	
taxonomy_id	
bioproject_id	
strain	X-31 strain of A2/Hong Kong/1968 virus
breed	
cultivar	
isolate_label	
biomaterial_provider	not data
collection_date	not data
host	
subspecf_gen_lin	
tissue_type	
age	
anamorph	
authority	
recombinant_information	
cell_line	
cell_type	
collected_by	not data
culture_collection	
dev_stage	
disease	
disease_stage	
genotype	
haplotype	
health_state	
host_body_site	
isolation_source	X-31 strain of A2/Hong Kong/1968 virus (influenza virus)
lab_host	
passage_history	not data
pathovar	
phenotype	
sample_type	crystallized BHA
serotype	
serovar	
sex	
specimen_voucher	
subgroup	
subtype	
teleomorph	
