glycosample_id	GS_30
glycosample_entry	GS_30_E1
pmid	4019443
journal_name	J Biochem.
journal_site	Tanoguchi T._et_al_Fig.2
journal_title	Structural studies on the carbohydrate moieties of rat liver cathepsins B and H.
description	
organism	rat
taxonomy_name	Rattus norvegicus (Rat)
taxonomy_id	10116
bioproject_id	
strain	
breed	
cultivar	
isolate_label	
biomaterial_provider	
collection_date	
host	
subspecf_gen_lin	
tissue_type	rat liver
age	not data
anamorph	
authority	
recombinant_information	
cell_line	
cell_type	
collected_by	
culture_collection	
dev_stage	
disease	not data
disease_stage	not data
genotype	
haplotype	
health_state	
host_body_site	
isolation_source	
lab_host	
passage_history	not data
pathovar	
phenotype	
sample_type	rat liver
serotype	
serovar	
sex	not data
specimen_voucher	
subgroup	
subtype	
teleomorph	
