glycosample_id	GS_48
glycosample_entry	GS_48_E1
pmid	9492296
journal_name	Eur J Biochem. 
journal_site	Furukawa K._et_al_Table2
journal_title	Structural study of the O-linked sugar chains of human leukocyte tyrosine phosphatase CD45.
description	
organism	human
taxonomy_name	Homo sapiens (Human)
taxonomy_id	9606
bioproject_id	
grant	Grants-in-Aid for Scientific Research (06680578) and that for Priority Areas (09240104) from The Ministry of Education, Science, Sports, and Culture of Japan, and by research grants from the Academy of Finland, the Finnish Cancer Society, the Sigrid Juselius Foundation and the Emil Aaltnen Foundation.
strain	
breed	
cultivar	
isolate_label	
biomaterial_provider	
collection_date	
host	
subspecf_gen_lin	
tissue_type	
age	not data
anamorph	
authority	
recombinant_information	
cell_line	
cell_type	
collected_by	
culture_collection	
dev_stage	
disease	not data
disease_stage	not data
genotype	
haplotype	
health_state	not data
host_body_site	
isolation_source	The Finnish Red Cross Blood Transfusion Service, Helsinki.
lab_host	
passage_history	not data
pathovar	
phenotype	
sample_type	packed human buffy coat cells from pooled human blood, which are enriched in Tcells. 
serotype	
serovar	
sex	not data
specimen_voucher	
subgroup	
subtype	
teleomorph	
