glycosample_id	GS_46	
glycosample_entry	GS_46_E1	GS_46_E2
pmid	7682847	1699598
journal_name	Biochemistry.	Biochemistry. 
journal_site	Nakata N._et_al_Table4	Greenwalt DE._et_al_materials nd methods
journal_title	Structural study of the sugar chains of CD36 purified from bovine mammary epithelial cells: occurrence of novel hybrid-type sugar chains containing the Neu5Ac alpha 2-->6GalNAc beta 1-->4GlcNAc and the Man alpha 1-->2Man alpha 1-->3Man alpha 1-->6Man groups.	PAS IV, an integral membrane protein of mammary epithelial cells, is related to platelet and endothelial cell CD36 (GP IV).
description		
organism	bovine	bovine
taxonomy_name	Bos taurus (Bovine)	Bos taurus (Bovine)
taxonomy_id	9913	9913
bioproject_id		
strain		
breed		
cultivar		
isolate_label		
biomaterial_provider		
collection_date		
host		
subspecf_gen_lin		
tissue_type		
age		not data
anamorph		
authority		
recombinant_information		
cell_line		
cell_type		
collected_by		
culture_collection		
dev_stage		
disease		not data
disease_stage		
genotype		
haplotype		
health_state		
host_body_site		
isolation_source		
lab_host		
passage_history		not data
pathovar		
phenotype		
sample_type	see PMID1699598	diluting fresh unwashed cream
serotype		
serovar		
sex		female
specimen_voucher		
subgroup		
subtype		
teleomorph		
