glycosample_id	GS_47
glycosample_entry	GS_47_E1
pmid	7514386
journal_name	Arch Biochem Biophys.
journal_site	Nakano Y._et_al_Fig4,7
journal_title	Structural study on the glycosyl-phosphatidylinositol anchor and the asparagine-linked sugar chain of a soluble form of CD59 in human urine.
description	
organism	human
taxonomy_name	Homo sapiens (Human)
taxonomy_id	9606
bioproject_id	
strain	
breed	
cultivar	
isolate_label	
biomaterial_provider	
collection_date	
host	
subspecf_gen_lin	
tissue_type	
age	not data
anamorph	
authority	
recombinant_information	
cell_line	
cell_type	
collected_by	
culture_collection	
dev_stage	
disease	not data
disease_stage	
genotype	
haplotype	
health_state	not data
host_body_site	
isolation_source	not data
lab_host	
passage_history	
pathovar	
phenotype	
sample_type	pooled urine
serotype	
serovar	
sex	not data
specimen_voucher	
subgroup	
subtype	
teleomorph	
