glycosample_id	GS_6	
glycosample_entry	GS_6_E1	GS_6_E2
pmid	8477709	728996
journal_name	Eur. J. Biochem.	Cell
journal_site	Nimtz M._et_al_Table4	Lawn RM/_et_al_
journal_title	Structures of sialylated oligosaccharides of human erythropoietin expressed in recombinant BHK-21 cells.	The isolation and characterization of linked delta- and beta-globin genes from a cloned library of human DNA.
description		
organism		
taxonomy_name		
taxonomy_id		
bioproject_id		
strain		
breed		
cultivar		
isolate_label		
biomaterial_provider	Elanex Pharmaceuticals (Bothell, USA)	
collection_date	not data	
host	Baby-hamster-kidney (BHK)	
subspecf_gen_lin		
tissue_type		
age	not data	
anamorph		
authority		
recombinant_information		see PMID:728996
cell_line	recombinant BHK-21 cells (BHK cells transfected with an expression vector containing the human EPO gene)	
cell_type		
collected_by		
culture_collection		
dev_stage		
disease	not data	
disease_stage	not data	
genotype		
haplotype		
health_state		
host_body_site	not data	
isolation_source	not data	
lab_host		
passage_history	not data	
pathovar		
phenotype		
sample_type	total human EPO protein	
serotype		
serovar		
sex	not data	
specimen_voucher		
subgroup		
subtype		
teleomorph		
