glycosample_id	GS_35
glycosample_entry	GS_35_E1
pmid	3571208
journal_name	J Biochem.
journal_site	Hitoi A._et_al_Table2
journal_title	The carbohydrate moieties of human urinary ribonuclease UL.
description	
organism	human
taxonomy_name	Homo sapiens (Human)
taxonomy_id	9606
bioproject_id	
grant	Gramts-in-Aid for developmental Scientific Research from the Ministry of Education, Science and Culture of Japan, and a research grant from the Yamada Science Foundation.
strain	
breed	
cultivar	
isolate_label	
biomaterial_provider	
collection_date	not data
host	
subspecf_gen_lin	
tissue_type	
age	not data
anamorph	
authority	
recombinant_information	
cell_line	
cell_type	
collected_by	
culture_collection	
dev_stage	
disease	
disease_stage	
genotype	
haplotype	
health_state	healthy
host_body_site	
isolation_source	
lab_host	
passage_history	
pathovar	
phenotype	
sample_type	human urine
serotype	
serovar	
sex	not data
specimen_voucher	
subgroup	
subtype	
teleomorph	
