glycosample_id	GS_12
glycosample_entry	GS_12_E1
pmid	24295106
journal_name	J Proteome Res. 
journal_site	Sethi MK._et_al_Fig5D
journal_title	Comparative N-glycan profiling of colorectal cancer cell lines reveals unique bisecting GlcNAc and α-2,3-linked sialic acid determinants are associated with membrane proteins of the more metastatic/aggressive cell lines.
description	
organism	
taxonomy_name	
taxonomy_id	
bioproject_id	
strain	
breed	
cultivar	
isolate_label	
biomaterial_provider	Ludwig Institute for Cancer Research Ltd. (Parkville, Victoria, Australia)
collection_date	
host	
subspecf_gen_lin	
tissue_type	
age	
anamorph	
authority	
recombinant_information	
cell_line	LIM2405 (colorectal cancer cell lines) *2
cell_type	
collected_by	
culture_collection	
dev_stage	
disease	colorectal cancer
disease_stage	
genotype	
haplotype	
health_state	
host_body_site	
isolation_source	
lab_host	
passage_history	
pathovar	
phenotype	
sample_type	
serotype	
serovar	
sex	
specimen_voucher	
subgroup	
subtype	
teleomorph	
