glycosample_id	GS_52
glycosample_entry	GS_52_E1
pmid	6478460
journal_name	Carbohydr Res
journal_site	Yamashita K._et_al_pp.281-282
journal_title	Sialic acid-containing sugar chains of hen ovalbumin and ovomucoid.
description	
organism	hen
taxonomy_name	Gallus gallus (Chicken)
taxonomy_id	31
bioproject_id	
strain	
breed	
cultivar	
isolate_label	
biomaterial_provider	
collection_date	
host	
subspecf_gen_lin	
tissue_type	egg white
age	not data
anamorph	
authority	
recombinant_information	
cell_line	
cell_type	
collected_by	
culture_collection	
dev_stage	
disease	not data
disease_stage	not data
genotype	
haplotype	
health_state	
host_body_site	not data
isolation_source	
lab_host	
passage_history	not data
pathovar	
phenotype	
sample_type	
serotype	
serovar	
sex	not data
specimen_voucher	
subgroup	
subtype	
teleomorph	
