glycosample_id	GS_14
glycosample_entry	GS_14_E1
pmid	7372628
journal_name	J Biol Chem.
journal_site	Yamashita K._et_al_Table2
journal_title	Urinary oligosaccharides of mannosidosis.
description	
organism	human
taxonomy_name	Homo sapiens
taxonomy_id	9606
bioproject_id	
strain	
breed	
cultivar	
isolate_label	
biomaterial_provider	Fuykuoka University
collection_date	not data
host	
subspecf_gen_lin	
tissue_type	
age	10, 18 years old
anamorph	
authority	
recombinant_information	
cell_line	
cell_type	
collected_by	
culture_collection	
dev_stage	
disease	α-mannosidosis
disease_stage	not dtata
genotype	
haplotype	
health_state	not data
host_body_site	
isolation_source	
lab_host	
passage_history	
pathovar	
phenotype	
sample_type	urinary
serotype	
serovar	
sex	male (18 years old), female (10 years old) :brother and sister
specimen_voucher	
subgroup	
subtype	
teleomorph	
