glycosample_id	GS_43
glycosample_entry	GS_43_E1
pmid	2808357
journal_name	J Biol Chem. 
journal_site	Yamashita K._et_al_Table3
journal_title	Carbohydrate structures of nonspecific cross-reacting antigen-2, a glycoprotein purified from meconium as an antigen cross-reacting with anticarcinoembryonic antigen antibody. Occurrence of complex-type sugar chains with the Gal beta 1----3GlcNAc beta 1----3Gal beta 1----4GlcNAc beta 1----outer chains.
description	
organism	human
taxonomy_name	Homo sapiens (Human)
taxonomy_id	9606
bioproject_id	
grant	Grants-in-aid for scientific research on priority areas (cancer-bioscience) and for cancer research from Ministry of Education, Science, and Culture of Japan.
strain	
breed	
cultivar	
isolate_label	
biomaterial_provider	
collection_date	not data
host	
subspecf_gen_lin	
tissue_type	
age	0 years old
anamorph	
authority	
recombinant_information	
cell_line	
cell_type	
collected_by	
culture_collection	
dev_stage	
disease	not data
disease_stage	not data
genotype	
haplotype	
health_state	not data
host_body_site	
isolation_source	more than 20 neonates of various blood types
lab_host	
passage_history	
pathovar	
phenotype	
sample_type	meconium
serotype	
serovar	
sex	not data
specimen_voucher	
subgroup	
subtype	
teleomorph	
