glycosample_id	GS_19
glycosample_entry	GS_19_E1
pmid	7130179
journal_name	J Biol Chem.
journal_site	Yamashita K._et_al_Fig.7
journal_title	Structural study of the carbohydrate moiety of hen ovomucoid. Occurrence of a series of pentaantennary complex-type asparagine-linked sugar chains.
description	
organism	hen
taxonomy_name	Gallus gallus
taxonomy_id	9031
bioproject_id	
strain	
breed	
cultivar	
isolate_label	
biomaterial_provider	
collection_date	
host	
subspecf_gen_lin	
tissue_type	egg white
age	not data
anamorph	
authority	
recombinant_information	
cell_line	
cell_type	
collected_by	
culture_collection	
dev_stage	
disease	not data
disease_stage	not data
genotype	
haplotype	
health_state	
host_body_site	
isolation_source	Sigma
lab_host	
passage_history	
pathovar	
phenotype	
sample_type	hen ovomucoid, free of ovoinhibitor
serotype	
serovar	
sex	not data
specimen_voucher	
subgroup	
subtype	
teleomorph	
