glycosample_id	GS_29
glycosample_entry	GS_29_E1
pmid	2411221
journal_name	Arch Biochem Biophys
journal_site	Yamashita K._et_al_Fig.6
journal_title	The structures of the carbohydrate moieties of mouse kidney gamma-glutamyltranspeptidase: occurrence of X-antigenic determinants and bisecting N-acetylglucosamine residues.
description	
organism	mouse
taxonomy_name	Mus musculus (Mouse)
taxonomy_id	10090
bioproject_id	
strain	
breed	
cultivar	
isolate_label	
biomaterial_provider	
collection_date	not data
host	
subspecf_gen_lin	
tissue_type	
age	not data
anamorph	
authority	
recombinant_information	
cell_line	
cell_type	
collected_by	
culture_collection	
dev_stage	
disease	not data
disease_stage	not data
genotype	
haplotype	
health_state	not data
host_body_site	
isolation_source	not data
lab_host	
passage_history	not data
pathovar	
phenotype	
sample_type	mouse kidney
serotype	
serovar	
sex	not data
specimen_voucher	
subgroup	
subtype	
teleomorph	
