glycosample_id	GS_23
glycosample_entry	GS_23_E1
pmid	6137277
journal_name	Cancer Res. 
journal_site	Yamashita K._et_al_Chart.5
journal_title	Comparative study of the sugar chains of gamma-glutamyltranspeptidases purified from rat liver and rat AH-66 hepatoma cells.
description	
organism	rat
taxonomy_name	Rattus norvegicus (Rat)
taxonomy_id	10116
bioproject_id	
grant	Grant-in-aid for Cancer Research, the Ministry of Education, Science and Culture of Japan, and a reseach grant from Yamanouchi Foundation for Research on Metabolic Disorders.
strain	
breed	
cultivar	
isolate_label	
biomaterial_provider	
collection_date	not data
host	
subspecf_gen_lin	
tissue_type	
age	not data
anamorph	
authority	
recombinant_information	
cell_line	
cell_type	
collected_by	
culture_collection	
dev_stage	
disease	not data
disease_stage	not data
genotype	
haplotype	
health_state	not data
host_body_site	
isolation_source	not data
lab_host	
passage_history	not data
pathovar	
phenotype	
sample_type	rat liver
serotype	
serovar	
sex	
specimen_voucher	
subgroup	
subtype	
teleomorph	
