glycosample_id	GS_13
glycosample_entry	GS_13_E1
pmid	10460833
journal_name	Glycobiology.
journal_site	Gayer H. et_al_Table1
journal_title	Characterization of human vascular endothelial cadherin glycans.
description	
organism	human
taxonomy_name	Homo sapiens
taxonomy_id	9606
bioproject_id	
strain	
breed	
cultivar	
isolate_label	
biomaterial_provider	
collection_date	
host	
subspecf_gen_lin	
tissue_type	
age	not data
anamorph	
authority	
recombinant_information	
cell_line	
cell_type	
collected_by	
culture_collection	
dev_stage	
disease	not data
disease_stage	not data
genotype	
haplotype	
health_state	not data
host_body_site	not data
isolation_source	not data
lab_host	
passage_history	not data
pathovar	
phenotype	
sample_type	human umibilical vein endothelial cells (HUVEC)
serotype	
serovar	
sex	not data
specimen_voucher	
subgroup	
subtype	
teleomorph	
