glycosample_id	GS_24
glycosample_entry	GS_24_E1
pmid	6437339
journal_name	Arch Biochem Biophys.
journal_site	Ohkura T._et_al_Fig.9
journal_title	Purification of hamster melanoma tyrosinases and structural studies of their asparagine-linked sugar chains.
description	
organism	hamster
taxonomy_name	Mesocricetus auratus (Golden hamster)
taxonomy_id	10036
bioproject_id	
strain	
breed	
cultivar	
isolate_label	
biomaterial_provider	
collection_date	
host	Syrian golden hamsters
subspecf_gen_lin	
tissue_type	Greene's hamster melanotic melanoma
age	13 weeks old
anamorph	
authority	
recombinant_information	
cell_line	
cell_type	
collected_by	
culture_collection	
dev_stage	
disease	not data
disease_stage	not data
genotype	
haplotype	
health_state	not data
host_body_site	not data
isolation_source	
lab_host	
passage_history	not data
pathovar	
phenotype	
sample_type	
serotype	
serovar	
sex	not data
specimen_voucher	
subgroup	
subtype	
teleomorph	
