glycosample_id	GS_16
glycosample_entry	GS_16_E1
pmid	8416919
journal_name	J Biol Chem. 
journal_site	Tomiya N._et_al_Table4
journal_title	Structural elucidation of a variety of GalNAc-containing N-linked oligosaccharides from human urinary kallidinogenase.
description	
organism	human
taxonomy_name	Homo sapiens
taxonomy_id	9606
bioproject_id	
strain	
breed	
cultivar	
isolate_label	
biomaterial_provider	
collection_date	
host	
subspecf_gen_lin	
tissue_type	
age	not data
anamorph	
authority	
recombinant_information	
cell_line	
cell_type	
collected_by	
culture_collection	
dev_stage	
disease	not data
disease_stage	not data
genotype	
haplotype	
health_state	not data
host_body_site	
isolation_source	JCR Phrmaceuticals Co., Ltd (Kobe Japan)
lab_host	
passage_history	not dtata
pathovar	
phenotype	
sample_type	fresh human urine
serotype	
serovar	
sex	not data
specimen_voucher	
subgroup	
subtype	
teleomorph	
