glycosample_id	GS_51
glycosample_entry	GS_51_E1
pmid	7775382
journal_name	J Biochem.
journal_site	Sato T._et_al_Table3
journal_title	Site-specific glycosylation of bovine butyrophilin.
description	
organism	bovine
taxonomy_name	Bos taurus (Bovine)
taxonomy_id	9913
bioproject_id	
grant	Grant-in-Aid for Scientific Research on Priority Areas (No. 05274106) from the Ministry of Education, Science and Culture of Japan and PHS Grant CA56589 (DG).
strain	
breed	
cultivar	
isolate_label	
biomaterial_provider	
collection_date	
host	
subspecf_gen_lin	
tissue_type	
age	not data
anamorph	
authority	
recombinant_information	
cell_line	
cell_type	
collected_by	
culture_collection	
dev_stage	
disease	not data
disease_stage	
genotype	
haplotype	
health_state	not data
host_body_site	
isolation_source	
lab_host	
passage_history	
pathovar	
phenotype	
sample_type	
serotype	
serovar	
sex	not data
specimen_voucher	
subgroup	
subtype	
teleomorph	
