glycosample_id	GS_44	
glycosample_entry	GS_44_E1	GS_44_E2
pmid	1998670	7352990
journal_name	Biochemistry.	Biochemistry. 
journal_site	Mori E._et_al_Table2	Dunbar BS._et_al_materials and methods
journal_title	Neutral oligosaccharide structures linked to asparagines of porcine zona pellucida glycoproteins.	Isolation, physicochemical properties, and macromolecular composition of zona pellucida from porcine oocytes.
description		
organism	pig	pig
taxonomy_name	Sus scrofa (Pig)	Sus scrofa (Pig)
taxonomy_id	9823	9823
bioproject_id		
strain		
breed		
cultivar		
isolate_label		
biomaterial_provider		
collection_date		
host		
subspecf_gen_lin		
tissue_type		
age		not data
anamorph		
authority		
recombinant_information		
cell_line		
cell_type		
collected_by		
culture_collection		
dev_stage		
disease		not data
disease_stage		
genotype		
haplotype		
health_state		not data
host_body_site		
isolation_source		
lab_host		market
passage_history		
pathovar		
phenotype		
sample_type	porcine ovaries, see PMID7352990	freshly slaughtered gilts
serotype		
serovar		
sex		not data
specimen_voucher		
subgroup		
subtype		
teleomorph		
