glycosample_id	GS_18
glycosample_entry	GS_18_E1
pmid	7118871
journal_name	J Biochem
journal_site	Mizuochi T._et_al Fig.7
journal_title	Comparative studies on the structures of the carbohydrate moieties of human fibrinogen and abnormal fibrinogen Nagoya.
description	
organism	human
taxonomy_name	Homo sapiens
taxonomy_id	9606
bioproject_id	
strain	
breed	
cultivar	
isolate_label	
biomaterial_provider	
collection_date	
host	
subspecf_gen_lin	
tissue_type	
age	not data
anamorph	
authority	
recombinant_information	
cell_line	
cell_type	
collected_by	
culture_collection	
dev_stage	
disease	not data
disease_stage	not data
genotype	
haplotype	
health_state	not data
host_body_site	not data
isolation_source	AB KABI, Stockholm, Sweden
lab_host	
passage_history	
pathovar	
phenotype	
sample_type	human fibrinogen (Grade L)
serotype	
serovar	
sex	
specimen_voucher	
subgroup	
subtype	
teleomorph	
