glycosample_id	GS_34	
glycosample_entry	GS_34_E1	GS_34_E2
pmid	3115970	6793612
journal_name	J Biochem. 	J Clin Endocrinol Metab.
journal_site	Renwick AG._et_al_Table2	Chapman GE._et_al_materials and methods
journal_title	The asparagine-linked sugar chains of human follicle-stimulating hormone.	The isolation of human pituitary hormones from frozen glands.
description		
organism	human	human
taxonomy_name	Homo sapiens (Human)	Homo sapiens (Human)
taxonomy_id	9606	9606
bioproject_id		
grant	Grants-in-Aid for Scientific Research and for Cancer Research from the Ministry of Education, Science and Culture of Japan; and Grants-in-Aid from the Japanese Foundation for Multidiscriplinary Treatment of Cancer, and from Fujita-Gakuen Health University	
strain		
breed		
cultivar		
isolate_label		
biomaterial_provider		
collection_date		
host		
subspecf_gen_lin		
tissue_type	see PMID:6793612 	human pituitary glands
age		
anamorph		
authority		
recombinant_information		
cell_line		
cell_type		
collected_by		
culture_collection		
dev_stage		
disease		
disease_stage		
genotype		
haplotype		
health_state		
host_body_site		
isolation_source		
lab_host		
passage_history		
pathovar		
phenotype		
sample_type		
serotype		
serovar		
sex		
specimen_voucher		
subgroup		
subtype		
teleomorph		
