glycosample_id	GS_33
glycosample_entry	GS_33_E1
pmid	2870061
journal_name	J Biochem.
journal_site	Yamashita. K_et_al_Fig. 3,4
journal_title	Structures of sugar chains of human kidney gamma-glutamyltranspeptidase.
description	
organism	human
taxonomy_name	Homo sapiens (Human)
taxonomy_id	9606
bioproject_id	
strain	
breed	
cultivar	
isolate_label	
biomaterial_provider	
collection_date	
host	
subspecf_gen_lin	
tissue_type	human kidneys
age	not data
anamorph	
authority	
recombinant_information	
cell_line	
cell_type	
collected_by	
culture_collection	
dev_stage	
disease	not data
disease_stage	
genotype	
haplotype	
health_state	not data
host_body_site	kidney
isolation_source	two individuals at autopsy
lab_host	
passage_history	not data
pathovar	
phenotype	
sample_type	human kidneys
serotype	
serovar	
sex	not data
specimen_voucher	
subgroup	
subtype	
teleomorph	
